nconst	primaryName	birthYear	deathYear	primaryProfession	knownForTitles	tconst	averageRating	numVotes	ordering	category	job	characters
nm0000821	Amitabh Bachchan	1942	\N	actor,producer,writer	tt0337578,tt5571734,tt0375611,tt0213890	tt0066763	8.1	33843	2	actor	\N	"[""Dr. Bhaskar K. Bannerjee"",""Babu Moshai""]"
nm0000821	Amitabh Bachchan	1942	\N	actor,producer,writer	tt0337578,tt5571734,tt0375611,tt0213890	tt0067555	6.7	210	2	actor	\N	"[""Kumar Sen""]"
nm0000821	Amitabh Bachchan	1942	\N	actor,producer,writer	tt0337578,tt5571734,tt0375611,tt0213890	tt0067636	6.0	97	2	actor	\N	"[""Ram G. Chandra""]"
nm0000821	Amitabh Bachchan	1942	\N	actor,producer,writer	tt0337578,tt5571734,tt0375611,tt0213890	tt0068255	5.2	58	1	actor	\N	"[""Birju""]"
nm0000821	Amitabh Bachchan	1942	\N	actor,producer,writer	tt0337578,tt5571734,tt0375611,tt0213890	tt0068305	6.8	1185	3	actor	\N	"[""Ravi Kumar""]"
nm0000821	Amitabh Bachchan	1942	\N	actor,producer,writer	tt0337578,tt5571734,tt0375611,tt0213890	tt0068532	5.7	115	1	actor	\N	"[""Manmohan Akash Tyagi""]"
nm0000821	Amitabh Bachchan	1942	\N	actor,producer,writer	tt0337578,tt5571734,tt0375611,tt0213890	tt0068753	6.3	25	3	actor	\N	"[""Dalaljit (Guest Appearance)""]"
nm0000821	Amitabh Bachchan	1942	\N	actor,producer,writer	tt0337578,tt5571734,tt0375611,tt0213890	tt0069152	5.6	104	1	actor	\N	"[""Jai Shankar Rai""]"
nm0000821	Amitabh Bachchan	1942	\N	actor,producer,writer	tt0337578,tt5571734,tt0375611,tt0213890	tt0069218	5.7	151	2	actor	\N	"[""Mohan""]"
nm0000821	Amitabh Bachchan	1942	\N	actor,producer,writer	tt0337578,tt5571734,tt0375611,tt0213890	tt0069671	7.8	2814	1	actor	\N	"[""Subir Kumar (Beeru)""]"
nm0000821	Amitabh Bachchan	1942	\N	actor,producer,writer	tt0337578,tt5571734,tt0375611,tt0213890	tt0069751	5.6	118	2	actor	\N	"[""Dual Role (Shyamu & Deepak)""]"
nm0000821	Amitabh Bachchan	1942	\N	actor,producer,writer	tt0337578,tt5571734,tt0375611,tt0213890	tt0070097	5.5	145	3	actor	\N	"[""Ratan""]"
nm0000821	Amitabh Bachchan	1942	\N	actor,producer,writer	tt0337578,tt5571734,tt0375611,tt0213890	tt0070434	7.2	1703	2	actor	\N	"[""Vikram (Vicky) Maharaj""]"
nm0000821	Amitabh Bachchan	1942	\N	actor,producer,writer	tt0337578,tt5571734,tt0375611,tt0213890	tt0070637	7.3	821	1	actor	\N	"[""Moti""]"
nm0000821	Amitabh Bachchan	1942	\N	actor,producer,writer	tt0337578,tt5571734,tt0375611,tt0213890	tt0070947	7.5	3995	1	actor	\N	"[""Insp. Vijay Khanna""]"
nm0000821	Amitabh Bachchan	1942	\N	actor,producer,writer	tt0337578,tt5571734,tt0375611,tt0213890	tt0071205	6.8	302	1	actor	\N	"[""Amit Srivastav""]"
nm0000821	Amitabh Bachchan	1942	\N	actor,producer,writer	tt0337578,tt5571734,tt0375611,tt0213890	tt0071714	5.6	131	2	actor	\N	"[""Amitabh Sharma (Amit)""]"
nm0000821	Amitabh Bachchan	1942	\N	actor,producer,writer	tt0337578,tt5571734,tt0375611,tt0213890	tt0071800	7.1	738	1	actor	\N	"[""Ravi Khanna""]"
nm0000821	Amitabh Bachchan	1942	\N	actor,producer,writer	tt0337578,tt5571734,tt0375611,tt0213890	tt0072783	8.3	12621	3	actor	\N	"[""Professor Sukumar Sinha""]"
nm0000821	Amitabh Bachchan	1942	\N	actor,producer,writer	tt0337578,tt5571734,tt0375611,tt0213890	tt0072860	8.0	11079	1	actor	\N	"[""Vijay Verma""]"
nm0000821	Amitabh Bachchan	1942	\N	actor,producer,writer	tt0337578,tt5571734,tt0375611,tt0213890	tt0072972	6.7	338	3	actor	\N	"[""Rajesh (Raj)""]"
nm0000821	Amitabh Bachchan	1942	\N	actor,producer,writer	tt0337578,tt5571734,tt0375611,tt0213890	tt0073104	6.6	1072	3	actor	\N	"[""Vijay""]"
nm0000821	Amitabh Bachchan	1942	\N	actor,producer,writer	tt0337578,tt5571734,tt0375611,tt0213890	tt0073391	7.4	1356	2	actor	\N	"[""Shekhar Dayal""]"
nm0000821	Amitabh Bachchan	1942	\N	actor,producer,writer	tt0337578,tt5571734,tt0375611,tt0213890	tt0073707	8.1	55723	3	actor	\N	"[""Jai""]"
nm0000821	Amitabh Bachchan	1942	\N	actor,producer,writer	tt0337578,tt5571734,tt0375611,tt0213890	tt0073924	6.0	375	3	actor	\N	"[""Badal""]"
nm0000821	Amitabh Bachchan	1942	\N	actor,producer,writer	tt0337578,tt5571734,tt0375611,tt0213890	tt0074417	6.7	458	1	actor	\N	"[""Amit Roy"",""Naresh Dutt""]"
nm0000821	Amitabh Bachchan	1942	\N	actor,producer,writer	tt0337578,tt5571734,tt0375611,tt0213890	tt0074730	7.1	2198	1	actor	\N	"[""Amitabh Malhotra""]"
nm0000821	Amitabh Bachchan	1942	\N	actor,producer,writer	tt0337578,tt5571734,tt0375611,tt0213890	tt0075632	6.3	313	1	actor	\N	"[""Thakur Dharam Chand 'Dharma'"",""Raju""]"
nm0000821	Amitabh Bachchan	1942	\N	actor,producer,writer	tt0337578,tt5571734,tt0375611,tt0213890	tt0075653	6.5	360	1	actor	\N	"[""Alok Prasad""]"
nm0000821	Amitabh Bachchan	1942	\N	actor,producer,writer	tt0337578,tt5571734,tt0375611,tt0213890	tt0075669	7.4	7741	3	actor	\N	"[""Anthony Gonzalves""]"
nm0000821	Amitabh Bachchan	1942	\N	actor,producer,writer	tt0337578,tt5571734,tt0375611,tt0213890	tt0076177	5.5	196	3	actor	\N	"[""Ahmed Reza""]"
nm0000821	Amitabh Bachchan	1942	\N	actor,producer,writer	tt0337578,tt5571734,tt0375611,tt0213890	tt0076259	6.0	386	1	actor	\N	"[""Shiva"",""Tiger""]"
nm0000821	Amitabh Bachchan	1942	\N	actor,producer,writer	tt0337578,tt5571734,tt0375611,tt0213890	tt0076527	6.9	994	2	actor	\N	"[""Amit""]"
nm0000821	Amitabh Bachchan	1942	\N	actor,producer,writer	tt0337578,tt5571734,tt0375611,tt0213890	tt0077226	5.1	127	2	actor	\N	"[""Ram Kumar Chandra"",""Prince Chandrashekar""]"
nm0000821	Amitabh Bachchan	1942	\N	actor,producer,writer	tt0337578,tt5571734,tt0375611,tt0213890	tt0077451	7.7	12274	1	actor	\N	"[""Don"",""Vijay""]"
nm0000821	Amitabh Bachchan	1942	\N	actor,producer,writer	tt0337578,tt5571734,tt0375611,tt0213890	tt0077596	5.2	182	1	actor	\N	"[""Jeeva""]"
nm0000821	Amitabh Bachchan	1942	\N	actor,producer,writer	tt0337578,tt5571734,tt0375611,tt0213890	tt0077792	6.4	450	2	actor	\N	"[""Dual Role (Amit & Shankar)""]"
nm0000821	Amitabh Bachchan	1942	\N	actor,producer,writer	tt0337578,tt5571734,tt0375611,tt0213890	tt0078418	7.6	2290	1	actor	\N	"[""Vijay Kumar""]"
nm0000821	Amitabh Bachchan	1942	\N	actor,producer,writer	tt0337578,tt5571734,tt0375611,tt0213890	tt0079236	6.4	673	1	actor	\N	"[""Dual Role (Jay & Insp. Vijay)""]"
nm0000821	Amitabh Bachchan	1942	\N	actor,producer,writer	tt0337578,tt5571734,tt0375611,tt0213890	tt0079382	6.9	198	2	actor	\N	"[""Inder Saxena""]"
nm0000821	Amitabh Bachchan	1942	\N	actor,producer,writer	tt0337578,tt5571734,tt0375611,tt0213890	tt0079386	7.6	2489	1	actor	\N	"[""Vijay Pal Singh""]"
nm0000821	Amitabh Bachchan	1942	\N	actor,producer,writer	tt0337578,tt5571734,tt0375611,tt0213890	tt0079526	7.0	321	1	actor	\N	"[""Ajay Chandra""]"
nm0000821	Amitabh Bachchan	1942	\N	actor,producer,writer	tt0337578,tt5571734,tt0375611,tt0213890	tt0079584	6.5	1398	1	actor	\N	"[""Natwarlal""]"
nm0000821	Amitabh Bachchan	1942	\N	actor,producer,writer	tt0337578,tt5571734,tt0375611,tt0213890	tt0079590	7.4	2853	1	actor	\N	"[""Sikandar""]"
nm0000821	Amitabh Bachchan	1942	\N	actor,producer,writer	tt0337578,tt5571734,tt0375611,tt0213890	tt0079963	6.6	1151	2	actor	\N	"[""Amit Kapoor""]"
nm0000821	Amitabh Bachchan	1942	\N	actor,producer,writer	tt0337578,tt5571734,tt0375611,tt0213890	tt0080376	6.1	346	1	actor	\N	"[""Inspector Abhijeet Rai""]"
nm0000821	Amitabh Bachchan	1942	\N	actor,producer,writer	tt0337578,tt5571734,tt0375611,tt0213890	tt0080638	6.8	1030	2	actor	\N	"[""Vijay"",""Ram""]"
nm0000821	Amitabh Bachchan	1942	\N	actor,producer,writer	tt0337578,tt5571734,tt0375611,tt0213890	tt0080653	6.5	1004	1	actor	\N	"[""Vijay Varma""]"
nm0000821	Amitabh Bachchan	1942	\N	actor,producer,writer	tt0337578,tt5571734,tt0375611,tt0213890	tt0081401	6.2	531	2	actor	\N	"[""Police Inspector Balram Singh""]"
